advisory_id,MSS OAR Number,Title,Category,Updated,Rating
104996,MSS-OAR-E01-2022:721.1,Debian: [SECURITY] [DSA 5061-1] wpewebkit security update,Debian,2022-02-08T09:31:49.000Z,Kyndryl Advisory
104994,MSS-OAR-E01-2022:720.1,Debian: [SECURITY] [DSA 5062-1] nss security update,Debian,2022-02-08T09:30:33.000Z,Kyndryl Advisory
104995,MSS-OAR-E01-2022:719.1,Debian: [SECURITY] [DSA 5060-1] webkit2gtk security update,Debian,2022-02-08T09:30:19.000Z,Kyndryl Advisory
104992,MSS-OAR-E01-2022:718.1,Debian: [SECURITY] [DSA 5063-1] uriparser security update,Debian,2022-02-08T09:28:27.000Z,Kyndryl Advisory
104993,MSS-OAR-E01-2022:717.1,Debian: [SECURITY] [DSA 5058-1] openjdk-17 security update,Debian,2022-02-08T09:28:13.000Z,Kyndryl Advisory
104991,MSS-OAR-E01-2022:716.1,Centos: [CentOS-announce] CESA-2022:0204 Moderate CentOS 7 java-11-openjdk Security Update,CentOS,2022-02-08T09:23:24.000Z,Kyndryl Advisory
104990,MSS-OAR-E01-2022:715.1,Centos: [CentOS-announce] CESA-2022:0143 Important CentOS 7 httpd,CentOS,2022-02-08T09:22:05.000Z,Kyndryl Advisory
104989,MSS-OAR-E01-2022:714.1,F5:  Multiple MySQL vulnerabilities,Other Advisories,2022-02-08T09:05:27.000Z,Kyndryl Advisory
104988,MSS-OAR-E01-2022:713.1,"Centos: CentOS-announce Digest, Vol 202, Issue 1",CentOS,2022-02-07T14:09:26.000Z,Kyndryl Advisory
104987,MSS-OAR-E01-2022:712.1,"Centos: CentOS-announce Digest, Vol 201, Issue 5",CentOS,2022-02-07T14:09:14.000Z,Kyndryl Advisory
104986,MSS-OAR-E01-2022:711.1,"Centos: CentOS-announce Digest, Vol 201, Issue 4",CentOS,2022-02-07T14:09:00.000Z,Kyndryl Advisory
104985,MSS-OAR-E01-2022:710.1,Cisco: Multiple Cisco Products Snort Modbus Denial of Service Vulnerability,Cisco,2022-02-04T22:45:41.000Z,Kyndryl Advisory
104984,MSS-OAR-E01-2022:708.1,IBM PSIRT: Security Bulletin: Liberty for Java for IBM Cloud is vulnerable to an Information Disclosure (CVE-2022-22310),Websphere,2022-02-04T22:40:30.000Z,Kyndryl Advisory
104983,MSS-OAR-E01-2022:707.2,IBM PSIRT: Security Bulletin: IBM InfoSphere Information Server is vulnerable to arbitrary code execution due to Apache Log4j (CVE-2021-44832),IBM Other,2022-02-04T22:36:57.000Z,Critical
104982,MSS-OAR-E01-2022:706.1,IBM PSIRT: Security Bulletin: IBM Security Guardium Insights is affected by multipe vulnerabilities,IBM Other,2022-02-04T22:18:48.000Z,Kyndryl Advisory
104981,MSS-OAR-E01-2022:705.1,IBM PSIRT: Security Bulletin: Liberty for Java for IBM Cloud is vulnerable to LDAP Injection (CVE-2021-39031),Websphere,2022-02-04T22:16:30.000Z,Kyndryl Advisory
104980,MSS-OAR-E01-2022:704.1,TrendMicro: CRITICAL SECURITY BULLETIN:  Trend Micro ServerProtect Authentication Bypass Vulnerability,Other Advisories,2022-02-04T22:04:25.000Z,Kyndryl Advisory
104979,MSS-OAR-E01-2022:703.1,NetApp: January 2022 Expat Vulnerabilities in NetApp Products,Other Advisories,2022-02-04T22:01:32.000Z,Kyndryl Advisory
104978,MSS-OAR-E01-2022:702.1,NetApp: CVE-2021-4160 OpenSSL Vulnerability in NetApp Products,Other Advisories,2022-02-04T21:29:28.000Z,Kyndryl Advisory
104975,MSS-OAR-E01-2022:701.1,"IBM PSIRT: Security Bulletin: Multiple vulnerabilities in Apache Log4j affect IBM Tivoli Netcool Impact (CVE-2021-45105, CVE-2021-45046)",IBM Tivoli,2022-02-04T14:04:41.000Z,Kyndryl Advisory
104976,MSS-OAR-E01-2022:700.1,IBM PSIRT: Security Bulletin: Multiple vulnerabilities in IBM Java SDK (October 2021) affects IBM InfoSphere Information Server (CVE-2021-2341 CVE-2021-35578 CVE-2021-35564),IBM Other,2022-02-04T14:04:23.000Z,Kyndryl Advisory
104977,MSS-OAR-E01-2022:699.1,IBM PSIRT: IBM Informix Dynamic Server is vulnerable to arbitrary code execution due to Apache Log4j (CVE-2021-44228),IBM Other,2022-02-04T14:03:58.000Z,Kyndryl Advisory
104974,MSS-OAR-E01-2022:698.1,NetApp: CVE-2022-23990 Expat Vulnerability in NetApp Products,Other Advisories,2022-02-04T13:57:12.000Z,Kyndryl Advisory
104973,MSS-OAR-E01-2022:697.1,NetApp: CVE-2020-25638 Hibernate ORM Vulnerability in NetApp Products,Other Advisories,2022-02-04T13:54:50.000Z,Kyndryl Advisory
104972,MSS-OAR-E01-2022:696.1,F5:  Expat vulnerability CVE-2019-15903,Other Advisories,2022-02-04T13:50:53.000Z,Kyndryl Advisory
104971,MSS-OAR-E01-2022:695.1,F5:  Perl vulnerability CVE-2020-10878,Other Advisories,2022-02-04T13:49:55.000Z,Kyndryl Advisory
104970,MSS-OAR-E01-2022:694.1,Dell: DSA-2022-027: Dell PowerEdge Security Mitigation for an Intel Solid State Drive (SSD) Data Center (DC) Security Vulnerability,Other Firmware,2022-02-04T13:44:06.000Z,Kyndryl Advisory
104969,MSS-OAR-E01-2022:693.1,"Dell: DSA-2022-005: Dell EMC Avamar, Dell EMC NetWorker Virtual Edition, Dell EMC PowerProtect DP Series Appliance, and Dell EMC Integrated Data Protection Appliance Security Update for Multiple Vulnerabilities (OS Security Rollup 2021R3)",Other Firmware,2022-02-04T13:29:17.000Z,Kyndryl Advisory
104968,MSS-OAR-E01-2022:692.2,Cisco: Cisco Small Business RV Series Routers Vulnerabilities,Cisco,2022-02-04T12:14:34.000Z,Critical
104477,MSS-OAR-E01-2022:177.2,IBM Tivoli: Security Bulletin: Vulnerability in lscore affects AIX (CVE-2021-38991),AIX,2022-02-04T11:01:07.000Z,Kyndryl Advisory
104967,MSS-OAR-E01-2022:691.1,JFrog Artifactory: CVE-2021-22060,Other Advisories,2022-02-03T15:07:55.000Z,Kyndryl Advisory
104965,MSS-OAR-E01-2022:689.2,VMWare: VMSA-2021-0028.10,VMware,2022-02-03T15:01:46.000Z,Critical
104966,MSS-OAR-E01-2022:690.1,F5:  Linux kernel vulnerability CVE-2021-23133,Other Advisories,2022-02-03T14:57:12.000Z,Kyndryl Advisory
104216,MSS-OAR-E01-2021:7269.3,NetApp: CVE-2021-22096 Spring Framework Vulnerability in NetApp Products,Other Advisories,2022-02-03T14:48:36.000Z,Kyndryl Advisory
104217,MSS-OAR-E01-2021:7270.3,NetApp: September 2021 Apache HTTP Server Vulnerabilities in NetApp Products,Other Advisories,2022-02-03T14:45:37.000Z,Kyndryl Advisory
104378,MSS-OAR-E01-2022:78.3,NetApp: CVE-2021-4044 OpenSSL Vulnerability in NetApp Products,Other Advisories,2022-02-03T14:42:44.000Z,Kyndryl Advisory
104260,MSS-OAR-E01-2021:7313.3,NetApp: September 2021 cURL/libcURL Vulnerabilities in NetApp Products,Other Advisories,2022-02-03T14:39:37.000Z,Kyndryl Advisory
104964,MSS-OAR-E01-2022:688.2,Dell: Dell Response to Apache Log4j Remote Code Execution Vulnerability (CVE-2021-44228),Other Firmware,2022-02-03T14:27:15.000Z,Critical
101808,MSS-OAR-E01-2021:4704.2,NetApp: January 2021 MySQL Vulnerabilities in NetApp Products,Other Advisories,2022-02-03T13:54:30.000Z,Kyndryl Advisory
104963,MSS-OAR-E01-2022:687.1,IBM PSIRT: Security Bulletin: IBM Security Guardium Insights is affected by JWT-Go vulnerability (CVE-2020-26160),IBM Other,2022-02-03T13:46:44.000Z,Kyndryl Advisory
104962,MSS-OAR-E01-2022:686.1,"IBM PSIRT: Tivoli Netcool/Omnibus installation contains vulnerable Apache Log4j code (CVE-2021-44832, CVE-2021-45046, CVE-2021-45105)",IBM Tivoli,2022-02-03T13:41:25.000Z,Kyndryl Advisory
104959,MSS-OAR-E01-2022:684.2,"Dell: DSA-2021-284: Dell EMC RecoverPoint Security Update for Apache Log4j Remote Code Execution Vulnerability (CVE-2021-44228, CVE-2021-45046, and CVE-2021-45105)",Other Advisories,2022-02-03T12:55:26.000Z,Critical
104960,MSS-OAR-E01-2022:685.1,Oracle Critical Patch Update Advisory - January 2022 - Oracle Systems (Sun Solaris),Sun,2022-02-03T12:46:25.000Z,Kyndryl Advisory
104957,MSS-OAR-E01-2022:683.1,NetApp: April 2021 MySQL Vulnerabilities in NetApp Products,Other Advisories,2022-02-03T11:21:30.000Z,Kyndryl Advisory
104958,MSS-OAR-E01-2022:682.1,NetApp: July 2021 MySQL Vulnerabilities in NetApp Products,Other Advisories,2022-02-03T11:21:18.000Z,Kyndryl Advisory
104955,MSS-OAR-E01-2022:681.1,NetApp: RC4 Cipher Vulnerabilities in Multiple NetApp Products,Other Advisories,2022-02-03T11:19:31.000Z,Kyndryl Advisory
104956,MSS-OAR-E01-2022:680.1,NetApp: CVE-2021-34429 Eclipse Jetty Vulnerability in NetApp Products,Other Advisories,2022-02-03T11:19:20.000Z,Kyndryl Advisory
104954,MSS-OAR-E01-2022:679.1,NetApp: October 2021 MySQL Server Vulnerabilities in NetApp Products,Other Advisories,2022-02-03T11:15:34.000Z,Kyndryl Advisory
104953,MSS-OAR-E01-2022:678.2,Checkpoint: Check Point's Response to CVE-2021-4034,Checkpoint,2022-02-03T11:12:45.000Z,Critical
104951,MSS-OAR-E01-2022:677.1,"IBM Tivoli: Tivoli Netcool/Omnibus installation contains vulnerable Apache Log4j code (CVE-2021-44832, CVE-2021-45046, CVE-2021-45105)",IBM Tivoli,2022-02-03T11:04:29.000Z,Kyndryl Advisory
104952,MSS-OAR-E01-2022:676.1,IBM Tivoli: Security Bulletin: Security vulnerabilities have been identified in the IBM Spectrum Protect Client that affect multiple IBM Spectrum Protect products,IBM Firmware,2022-02-03T11:04:14.000Z,Kyndryl Advisory
104950,MSS-OAR-E01-2022:675.1,IBM Tivoli: Security Bulletin: A security vulnerability has been identified in the IBM Spectrum Protect Client that affects multiple IBM Spectrum Protect products (CVE-2018-1786),IBM Firmware,2022-02-03T11:00:53.000Z,Kyndryl Advisory
104642,MSS-OAR-E01-2022:341.2,Oracle Critical Patch Update Advisory - January 2022 - Oracle Fusion Middleware,Oracle,2022-02-03T09:44:18.000Z,Critical
104648,MSS-OAR-E01-2022:347.2,Oracle Critical Patch Update Advisory - January 2022 - Oracle Retail Applications,Oracle,2022-02-03T09:42:56.000Z,Critical
104949,MSS-OAR-E01-2022:674.1,Novell: SUSE-IU-2022:49-1: Security update of sles-15-sp1-chost-byos-v20220127,Novell SuSE,2022-02-02T19:06:48.000Z,Kyndryl Advisory
104948,MSS-OAR-E01-2022:673.1,Novell: SUSE-IU-2022:31-1: Security update of suse-sles-15-sp3-chost-byos-v20220126-gen2,Novell SuSE,2022-02-02T19:05:09.000Z,Kyndryl Advisory
104947,MSS-OAR-E01-2022:672.1,Novell: SUSE-IU-2022:36-1: Security update of suse-sles-15-sp3-chost-byos-v20220126-hvm-ssd-x86_64,Novell SuSE,2022-02-02T19:03:20.000Z,Kyndryl Advisory
104946,MSS-OAR-E01-2022:671.1,Novell: SUSE-IU-2022:148-1: Security update of suse-sles-15-sp1-chost-byos-v20220127-gen2,Novell SuSE,2022-02-02T18:59:06.000Z,Kyndryl Advisory
104945,MSS-OAR-E01-2022:670.1,Novell: SUSE-IU-2022:149-1: Security update of suse-sles-15-sp1-chost-byos-v20220127-hvm-ssd-x86_64,Novell SuSE,2022-02-02T18:56:20.000Z,Kyndryl Advisory
104944,MSS-OAR-E01-2022:669.1,Novell: SUSE-IU-2022:32-1: Security update of sles-15-sp3-chost-byos-v20220126,Novell SuSE,2022-02-02T18:53:53.000Z,Kyndryl Advisory
104943,MSS-OAR-E01-2022:668.1,NetApp: January 2022 Java Platform Standard Edition Vulnerabilities in NetApp Products,Other Advisories,2022-02-02T13:46:51.000Z,Kyndryl Advisory
104940,MSS-OAR-E01-2022:667.1,NetApp: CVE-2021-22060 Spring Framework Vulnerability in NetApp Products,Other Advisories,2022-02-02T13:42:07.000Z,Kyndryl Advisory
104941,MSS-OAR-E01-2022:666.1,NetApp: September 2021 PHP Vulnerabilities in NetApp Products,Other Advisories,2022-02-02T13:41:56.000Z,Kyndryl Advisory
104942,MSS-OAR-E01-2022:665.1,NetApp: CVE-2021-46143 Expat Vulnerability in NetApp Products,Other Advisories,2022-02-02T13:41:47.000Z,Kyndryl Advisory
104939,MSS-OAR-E01-2022:664.1,F5:  Python vulnerability CVE-2019-9948,Other Advisories,2022-02-02T13:26:20.000Z,Kyndryl Advisory
104934,MSS-OAR-E01-2022:663.1,Red Hat: [RHSA-2022:0318-06] Moderate: Red Hat OpenShift distributed tracing 2.1.0 security update,Red Hat Linux,2022-02-01T14:35:06.000Z,Kyndryl Advisory
104935,MSS-OAR-E01-2022:662.1,Red Hat: [RHSA-2022:0308-10] Moderate: OpenShift Container Storage 3.11.z security and bug fix update,Red Hat Linux,2022-02-01T14:34:56.000Z,Kyndryl Advisory
104936,MSS-OAR-E01-2022:661.1,Red Hat: [RHSA-2022:0323-02] Important: nginx:1.20 security update,Red Hat Linux,2022-02-01T14:34:44.000Z,Kyndryl Advisory
104937,MSS-OAR-E01-2022:660.1,Red Hat: [RHSA-2022:0332-02] Critical: samba security and bug fix update,Red Hat Linux,2022-02-01T14:34:34.000Z,Kyndryl Advisory
104938,MSS-OAR-E01-2022:659.1,Red Hat: [RHSA-2022:0331-02] Critical: samba security and bug fix update,Red Hat Linux,2022-02-01T14:34:24.000Z,Kyndryl Advisory
104932,MSS-OAR-E01-2022:658.1,Red Hat: [RHSA-2022:0312-02] Moderate: java-1.8.0-openjdk security update,Red Hat Linux,2022-02-01T14:30:51.000Z,Kyndryl Advisory
104933,MSS-OAR-E01-2022:657.1,Red Hat: [RHSA-2022:0325-02] Low: virt:av and virt-devel:av security and bug fix update,Red Hat Linux,2022-02-01T14:30:30.000Z,Kyndryl Advisory
104929,MSS-OAR-E01-2022:656.1,Red Hat: [RHSA-2022:0310-04] Important: java-1.7.1-ibm security update,Red Hat Linux,2022-02-01T14:27:28.000Z,Kyndryl Advisory
104930,MSS-OAR-E01-2022:655.1,Red Hat: [RHSA-2022:0305-02] Moderate: java-1.8.0-openjdk security update,Red Hat Linux,2022-02-01T14:27:16.000Z,Kyndryl Advisory
104931,MSS-OAR-E01-2022:654.1,Red Hat: [RHSA-2022:0328-03] Critical: samba security and bug fix update,Red Hat Linux,2022-02-01T14:27:04.000Z,Kyndryl Advisory
104926,MSS-OAR-E01-2022:653.1,Red Hat: [RHSA-2022:0329-03] Critical: samba security update,Red Hat Linux,2022-02-01T14:22:51.000Z,Kyndryl Advisory
104927,MSS-OAR-E01-2022:652.1,Red Hat: [RHSA-2022:0304-02] Moderate: java-1.8.0-openjdk security update,Red Hat Linux,2022-02-01T14:22:30.000Z,Kyndryl Advisory
104928,MSS-OAR-E01-2022:651.1,Red Hat: [RHSA-2022:0330-03] Critical: samba security update,Red Hat Linux,2022-02-01T14:22:17.000Z,Kyndryl Advisory
104925,MSS-OAR-E01-2022:650.1,Red Hat: [RHSA-2022:0306-02] Moderate: java-1.8.0-openjdk security update,Red Hat Linux,2022-02-01T14:20:06.000Z,Kyndryl Advisory
104924,MSS-OAR-E01-2022:649.1,Red Hat: [RHSA-2022:0307-03] Moderate: java-1.8.0-openjdk security and bug fix update,Red Hat Linux,2022-02-01T14:18:49.000Z,Kyndryl Advisory
104923,MSS-OAR-E01-2022:648.1,Novell: openSUSE-SU-2022:0226-1: important: Security update for log4j12,Novell SuSE,2022-02-01T14:13:50.000Z,Kyndryl Advisory
104922,MSS-OAR-E01-2022:647.1,Novell: SUSE-SU-2022:0241-1: important: Security update for the Linux Kernel (Live Patch 17 for SLE 15 SP2),Novell SuSE,2022-02-01T14:13:39.000Z,Kyndryl Advisory
104921,MSS-OAR-E01-2022:646.1,Novell: SUSE-SU-2022:0245-1: important: Security update for the Linux Kernel (Live Patch 26 for SLE 15),Novell SuSE,2022-02-01T14:13:15.000Z,Kyndryl Advisory
104917,MSS-OAR-E01-2022:645.1,Novell: SUSE-SU-2022:0246-1: important: Security update for the Linux Kernel (Live Patch 23 for SLE 12 SP5),Novell SuSE,2022-02-01T14:10:35.000Z,Kyndryl Advisory
104918,MSS-OAR-E01-2022:644.1,Novell: SUSE-SU-2022:0225-1: moderate: Security update for SUSE Manager Server 4.1,Novell SuSE,2022-02-01T14:10:24.000Z,Kyndryl Advisory
104919,MSS-OAR-E01-2022:643.1,Novell: SUSE-SU-2022:0242-1: important: Security update for the Linux Kernel (Live Patch 24 for SLE 12 SP5),Novell SuSE,2022-02-01T14:10:12.000Z,Kyndryl Advisory
104920,MSS-OAR-E01-2022:642.1,Novell: SUSE-SU-2022:0252-1: critical: Security update for samba,Novell SuSE,2022-02-01T14:10:01.000Z,Kyndryl Advisory
104916,MSS-OAR-E01-2022:641.1,Novell: SUSE-SU-2022:0251-1: critical: Security update for samba,Novell SuSE,2022-02-01T14:03:14.000Z,Kyndryl Advisory
104915,MSS-OAR-E01-2022:640.1,Novell: SUSE-SU-2022:0226-1: important: Security update for log4j12,Novell SuSE,2022-02-01T14:02:57.000Z,Kyndryl Advisory
104914,MSS-OAR-E01-2022:639.1,Novell: SUSE-SU-2022:0237-1: important: Security update for the Linux Kernel (Live Patch 24 for SLE 15),Novell SuSE,2022-02-01T13:59:49.000Z,Kyndryl Advisory
104913,MSS-OAR-E01-2022:638.1,Novell: SUSE-SU-2022:0239-1: important: Security update for the Linux Kernel (Live Patch 22 for SLE 15 SP2),Novell SuSE,2022-02-01T13:59:34.000Z,Kyndryl Advisory
104912,MSS-OAR-E01-2022:637.1,Novell: SUSE-SU-2022:0238-1: important: Security update for the Linux Kernel (Live Patch 19 for SLE 15 SP2),Novell SuSE,2022-02-01T13:58:57.000Z,Kyndryl Advisory
104911,MSS-OAR-E01-2022:636.1,Novell: SUSE-SU-2022:0234-1: important: Security update for the Linux Kernel (Live Patch 16 for SLE 12 SP5),Novell SuSE,2022-02-01T13:55:31.000Z,Kyndryl Advisory
104910,MSS-OAR-E01-2022:635.1,Novell: SUSE-SU-2022:0243-1: important: Security update for the Linux Kernel (Live Patch 23 for SLE 15),Novell SuSE,2022-02-01T13:55:21.000Z,Kyndryl Advisory
104909,MSS-OAR-E01-2022:634.1,Novell: SUSE-SU-2022:14882-1: important: Security update for clamav,Novell SuSE,2022-01-28T13:52:19.000Z,Kyndryl Advisory
104908,MSS-OAR-E01-2022:633.1,Novell: SUSE-SU-2022:0198-1: important: Security update for the Linux Kernel,Novell SuSE,2022-01-28T13:51:56.000Z,Kyndryl Advisory
104907,MSS-OAR-E01-2022:632.1,Novell: SUSE-SU-2022:0171-1: moderate: Security update for rust1.55,Novell SuSE,2022-01-28T13:51:29.000Z,Kyndryl Advisory
104906,MSS-OAR-E01-2022:631.1,Novell: SUSE-SU-2022:14879-1: important: Security update for aide,Novell SuSE,2022-01-28T13:51:06.000Z,Kyndryl Advisory
104905,MSS-OAR-E01-2022:630.1,Novell: SUSE-SU-2022:0199-1: important: Security update for MozillaThunderbird,Novell SuSE,2022-01-28T13:50:42.000Z,Kyndryl Advisory
104904,MSS-OAR-E01-2022:629.1,Novell: SUSE-SU-2022:0144-1: moderate: Security update for cryptsetup,Novell SuSE,2022-01-28T13:50:09.000Z,Kyndryl Advisory
104903,MSS-OAR-E01-2022:628.1,Novell: SUSE-SU-2022:0114-1: moderate: Security update for nodejs14,Novell SuSE,2022-01-28T13:49:38.000Z,Kyndryl Advisory
104902,MSS-OAR-E01-2022:627.1,Novell: SUSE-SU-2022:0112-1: moderate: Security update for nodejs14,Novell SuSE,2022-01-28T13:48:54.000Z,Kyndryl Advisory
104901,MSS-OAR-E01-2022:626.1,Novell: SUSE-SU-2022:14880-1: important: Security update for MozillaFirefox,Novell SuSE,2022-01-28T13:48:25.000Z,Kyndryl Advisory
104900,MSS-OAR-E01-2022:625.1,Novell: SUSE-SU-2022:0169-1: important: Security update for the Linux Kernel,Novell SuSE,2022-01-28T13:47:57.000Z,Kyndryl Advisory
